,CMPNM_NM,JJINHBT_SALES_PRICE_RATE,OTSD_SALES_PRICE_RATE,ALL_SALES_PRICE_RATE,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM
14226,파리바게뜨제주남원점,2.4616666666666664,0.07666666666666667,0.22333333333333336,서귀포시,남원읍,남원읍,간식,베이커리
14227,파리바게뜨제주노형백록점,2.7216666666666662,0.02666666666666667,0.19166666666666665,제주시,노형동,제주시 동지역,간식,베이커리
14228,파리바게뜨제주대정,2.0500000000000003,0.055,0.18000000000000002,서귀포시,대정읍,대정읍,간식,베이커리
14229,파리바게뜨제주법원점,2.4099999999999997,0.02666666666666667,0.17166666666666666,제주시,이도2동,제주시 동지역,간식,베이커리
14230,파리바게뜨제주시청점,4.565,0.065,0.34500000000000003,제주시,이도2동,제주시 동지역,간식,베이커리
14231,파리바게뜨제주신촌점,2.6950000000000003,0.03,0.19166666666666665,제주시,조천읍,조천읍,간식,베이커리
14232,파리바게뜨제주아라점,4.3966666666666665,0.05000000000000001,0.315,제주시,아라동,제주시 동지역,간식,베이커리
14233,파리바게뜨제주애월점,2.04,0.075,0.19499999999999998,제주시,애월읍,애월읍,간식,베이커리
14234,파리바게뜨제주용담점,3.8333333333333335,0.045000000000000005,0.28,제주시,용담2동,제주시 동지역,간식,베이커리
14235,파리바게뜨제주인제점,4.36,0.02,0.285,제주시,일도2동,제주시 동지역,간식,베이커리
14236,파리바게뜨제주일도점,4.095,0.021666666666666667,0.26833333333333337,제주시,일도2동,제주시 동지역,간식,베이커리
14237,파리바게뜨제주제스코본점,8.296666666666667,0.043333333333333335,0.54,제주시,이도2동,제주시 동지역,간식,베이커리
14238,파리바게뜨제주종합청사점,4.595,0.021666666666666667,0.2966666666666667,제주시,이도2동,제주시 동지역,간식,베이커리
14239,파리바게뜨제주중앙점,2.183333333333333,0.051666666666666666,0.18333333333333335,제주시,이도1동,제주시 동지역,간식,베이커리
14240,파리바게뜨제주첨담점,1.9749999999999999,0.023333333333333334,0.13999999999999999,제주시,아라동,제주시 동지역,간식,베이커리
14241,파리바게뜨제주표선점,1.845,0.08666666666666667,0.19499999999999998,서귀포시,표선면,표선면,간식,베이커리
14242,파리바게뜨제주하귀점,3.938333333333333,0.055,0.29833333333333334,제주시,애월읍,애월읍,간식,베이커리
14243,파리바게뜨한라대점,2.2866666666666666,0.034999999999999996,0.17166666666666666,제주시,노형동,제주시 동지역,간식,베이커리
14244,파리바게뜨한라병원점,3.2733333333333334,0.10833333333333334,0.305,제주시,연동,제주시 동지역,간식,베이커리
14245,파리바게뜨한림점,3.4899999999999998,0.06666666666666667,0.27666666666666667,제주시,한림읍,한림읍,간식,베이커리
14246,파리바게뜨협재해수욕장점,1.3949999999999998,0.17833333333333334,0.26,제주시,한림읍,한림읍,간식,베이커리
14247,파리바게트 제주서사라점,2.5733333333333333,0.028333333333333332,0.18666666666666668,제주시,삼도1동,제주시 동지역,간식,베이커리
14248,파리바게트제주영어도시점,1.9749999999999999,0.12,0.27,서귀포시,대정읍,대정읍,간식,베이커리
14249,파리바게트화북점,2.5833333333333335,0.013333333333333334,0.17,제주시,화북동,제주시 동지역,간식,베이커리
14250,파리의연인,0.23,0.02,0.04,제주시,연동,제주시 동지역,한식,단품요리 전문
14251,파머스커피,0.04833333333333333,0.0016666666666666668,0.006666666666666667,서귀포시,대천동,서귀포시 동지역,음료,커피
14252,파벤토,0.105,0.041666666666666664,0.04666666666666667,제주시,한경면,한경면,양식,양식
14253,파생,0.59,0.011666666666666667,0.04833333333333333,제주시,일도2동,제주시 동지역,한식,단품요리 전문
14254,파스쿠찌 서귀포일호광장점,0.9033333333333333,0.03666666666666667,0.08833333333333333,서귀포시,천지동,서귀포시 동지역,음료,커피
14255,파스쿠찌 제주노형점,1.6333333333333335,0.021666666666666667,0.12166666666666666,제주시,노형동,제주시 동지역,음료,커피
14256,파스쿠찌 제주유수암점,1.7683333333333333,0.05833333333333333,0.16333333333333333,제주시,애월읍,애월읍,음료,커피
14257,파스쿠찌봉개디아이점,0.8916666666666666,0.02666666666666667,0.08166666666666667,제주시,봉개동,제주시 동지역,음료,커피
14258,파스쿠찌삼화지구점,1.2683333333333333,0.01,0.08333333333333333,제주시,삼양동,제주시 동지역,음료,커피
14259,파스쿠찌서귀포신시가지 주식회사,1.0633333333333332,0.056666666666666664,0.12,서귀포시,대천동,서귀포시 동지역,음료,커피
